NAME,AIaaS Stack Level,Category,Industry,Sub-Category,Description,URL,Source(s),,,,,,
Blue River Tech,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,a team of innovators driven to radically change agriculture by creating intelligent machinery.,http://www.bluerivert.com/,FirstMark,,,,,,
Farmers Edge,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"With our unique digital infrastructure, Farmers Edge delivers robust 
datasets from the farm to help you be more productive and profitable.",http://www.farmersedge.ca,FirstMark,,,,,,
Prospera,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"As the largest, vertically-integrated AI company in agriculture, we use 
machine learning & computer vision to solve some of the industry’s biggest 
challenges.",http://www.prospera.ag,FirstMark,,,,,,
Semios,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Remotely monitor and manage weather, pest pressure, water, and plant stress 
in one convenient place to produce a better crop.",http://www.semios.com,FirstMark,,,,,,
FarmLogs,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Innovative technology for the modern farm. Plan, manage, monitor, and 
market your crops all in one place, wherever you are. Our digital farm 
management software provides an overview of your entire operation from any 
device.",https://farmlogs.com/,FirstMark,,,,,,
Granular,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Corteva Agriscience software and digital solutions give the real-time, 
field-by-field information needed to maximize yield & manage input costs.",https://granular.ag/,FirstMark,,,,,,
Agremo,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Welcome to the intuitive agricultural sensing and drone analysis platform 
for drone operators, growers, and agronomists. Sign up now!",https://www.agremo.com/,FirstMark,,,,,,
AiDash,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Put deep-domain climate technology to work
AiDash helps core industries manage geographically distributed assets.",https://www.aidash.com/,FirstMark,,,,,,
Aquabyte,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Platform that optimizes production and increases income. The platform is easy to use, and collects the information you need regarding the fish's performance, welfare and environmental data.",https://www.aquabyte.no,FirstMark,,,,,,
The Climate Corporation,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"Each farm is different. Every field is unique. Make data-driven decisions 
to maximize your return on every acre with the Climate FieldView Digital 
Farming platform.",https://www.climate.com/,FirstMark,,,,,,
Farmers Business Network,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"FBN helps Family Farmers maximize their profit potential with data and technology, direct-to-farm commerce, community and a sustainability platform",https://www.farmersbusinessnetwork.com/,FirstMark,,,,,,
FarmWise,AutoML,Data Analytics for Business Decisions,Agriculture,Agriculture,"French immigrants Sébastien Boyer and Thomas Palomares cofounded FarmWise in 2016 to use technology and automation to help vegetable farmers. Its first product is a self-driving, autonomous vegetable weeder that helps farms use fewer herbicides and increase crop yields. Computer vision is at the heart of the weeder's work in the field, used to identify plant species, understand their 3D geometry and exact location relative to the field. The company operates its AI-enabled weeders as a service for farmers and is paid on a per-acre basis, serving large family-owned farms growing crops like lettuce, broccoli and cauliflower.",,FORBES50,,,,,,
Orbital Insight,AutoML,Data Analytics for Business Decisions,Agriculture,Geospatial,"The world’s most innovative Fortune 500 companies, financial firms, and 
government agencies rely on Orbital Insight for geospatial analytics.",http://orbitalinsight.com/,FirstMark,,,,,,
